LocalAI | CVE-2024-3135 | FAILED | 6s
LocalAI | CVE-2024-48057 | FAILED | 0s
LocalAI | CVE-2024-5181 | FAILED | 1s
LocalAI | CVE-2024-6095 | FAILED | 0s
LocalAI | CVE-2024-6983 | FAILED | 0s
Ollama | CVE-2024-12055 | FAILED | 0s
Ollama | CVE-2024-28224 | FAILED | 0s
Ollama | CVE-2024-37032 | FAILED | 0s
Ollama | CVE-2024-39719 | FAILED | 0s
Ollama | CVE-2024-39720 | FAILED | 0s
Ollama | CVE-2024-39721 | FAILED | 0s
Ollama | CVE-2024-39722 | FAILED | 1s
Ollama | CVE-2024-45436 | FAILED | 0s
Ollama | CVE-2024-8063 | FAILED | 0s
Ollama | CVE-2025-0312 | FAILED | 0s
Ollama | CVE-2025-0315 | FAILED | 0s
Ollama | CVE-2025-0317 | FAILED | 1s
Ollama | CVE-2025-1975 | FAILED | 0s
Ollama | CVE-2025-44779 | FAILED | 0s
Ollama | CVE-2025-51471 | FAILED | 0s
