LocalAI | CVE-2024-3135 | TIMEOUT | 611s
LocalAI | CVE-2024-48057 | SETUP_OK | 201s
LocalAI | CVE-2024-5181 | FAILED | 2s
LocalAI | CVE-2024-6095 | SETUP_OK | 304s
LocalAI | CVE-2024-6983 | SETUP_OK | 160s
Ollama | CVE-2024-12055 | CONFIRMED | 495s
Ollama | CVE-2024-28224 | TIMEOUT | 609s
Ollama | CVE-2024-37032 | CONFIRMED | 50s
Ollama | CVE-2024-39719 | SETUP_OK | 9s
Ollama | CVE-2024-39720 | CONFIRMED | 76s
Ollama | CVE-2024-39721 | CONFIRMED | 53s
Ollama | CVE-2024-39722 | SETUP_OK | 10s
Ollama | CVE-2024-45436 | CONFIRMED | 56s
Ollama | CVE-2024-8063 | CONFIRMED | 73s
Ollama | CVE-2025-0312 | CONFIRMED | 10s
Ollama | CVE-2025-0315 | CONFIRMED | 9s
Ollama | CVE-2025-0317 | CONFIRMED | 9s
Ollama | CVE-2025-1975 | CONFIRMED | 306s
Ollama | CVE-2025-44779 | CONFIRMED | 9s
Ollama | CVE-2025-51471 | SETUP_OK | 328s
vllm | CVE-2024-11041 | CONFIRMED | 5s
vllm | CVE-2024-8768 | FAILED | 4s
vllm | CVE-2024-8939 | FAILED | 2s
vllm | CVE-2024-9052 | CONFIRMED | 5s
vllm | CVE-2024-9053 | CONFIRMED | 5s
vllm | CVE-2025-24357 | CONFIRMED | 6s
vllm | CVE-2025-25183 | CONFIRMED | 2s
vllm | CVE-2025-29770 | FAILED | 2s
vllm | CVE-2025-29783 | CONFIRMED | 5s
vllm | CVE-2025-30165 | CONFIRMED | 6s
vllm | CVE-2025-30202 | FAILED | 3s
vllm | CVE-2025-32381 | FAILED | 2s
vllm | CVE-2025-32434 | CONFIRMED | 4s
vllm | CVE-2025-32444 | CONFIRMED | 5s
vllm | CVE-2025-46560 | CONFIRMED | 10s
vllm | CVE-2025-46722 | CONFIRMED | 3s
vllm | CVE-2025-47277 | CONFIRMED | 4s
vllm | CVE-2025-48887 | CONFIRMED | 21s
vllm | CVE-2025-48942 | FAILED | 2s
vllm | CVE-2025-48943 | FAILED | 2s
vllm | CVE-2025-48944 | FAILED | 2s
vllm | CVE-2025-48956 | FAILED | 3s
vllm | GHSA-j828-28rj-hfhp | CONFIRMED | 13s
llama-cpp | CVE-2024-21802 | CONFIRMED | 155s
llama-cpp | CVE-2024-21825 | TIMEOUT | 610s
llama-cpp | CVE-2024-21836 | CONFIRMED | 8s
llama-cpp | CVE-2024-23496 | CONFIRMED | 6s
llama-cpp | CVE-2024-23605 | CONFIRMED | 6s
llama-cpp | CVE-2024-32878 | CONFIRMED | 304s
llama-cpp | CVE-2024-34359 | CONFIRMED | 153s
llama-cpp | CVE-2024-41130 | CONFIRMED | 183s
llama-cpp | CVE-2024-42477 | CONFIRMED | 216s
llama-cpp | CVE-2024-42478 | CONFIRMED | 88s
llama-cpp | CVE-2024-42479 | CONFIRMED | 217s
llama-cpp | CVE-2025-49847 | CONFIRMED | 401s
llama-cpp | CVE-2025-52566 | CONFIRMED | 204s
llama-cpp | CVE-2025-53630 | TIMEOUT | 610s
llama-cpp | GHSA-g4cc-763q-h9h6 | FAILED | 383s

Total: 58 | Passed: 43 | Confirmed: 37 | Setup-only: 6 | Failed: 15 | Timed-out: 4
